expositor,descripcion,rrss,logo
Arcano IV,Editorial independiente de narrativa gráfica.,http://arcanoiv.cl/,1.jpg
Ékara y RoyFishes,"Ékara es ilustradora y dibujante de cómic, autora de El Otro Plano, y co autora de Mujercitas, Tomas, Siy. Trabaja sus ilustraciones en técnicas análogas y digitales.
RoyFishes es ilustrador y diseñador freelance, su trabajo se destaca por su estética adorable y de colores apastelados, sus ilustraciones las presenta en distintos formatos y productos. Autor del fanzine llamado Selina.",https://linktr.ee/EkaraArt,2.jpg
Guarida de Burnaby,"Tienda de juegos y artículos referentes a la cultura geek en el sur de Chile, por un mundo de imaginación y juegos: ¡Somos ñoños, somos legión! #juegaburnaby #valdivialudica",https://juegaburnaby.cl/tienda/index.php,3.jpg
Ethan & Franko´s Art Shop ,Somos ilustradores y dibujantes de comics que nos gusta contar historias y crear personajes. ,https://linktr.ee/Frankothelion,4.jpg
Natu Crafts,"Tienda online de artículos con diseño propio, hechos a mano, importados y
confección de trabajos personalizados.
Accesorios, papelería, pixel art y mucho más! Nos especializamos en tener articulos con tematicas juveniles, que ayudan a crear tu estilo propio y único. También contamos principalmente con varios productos relacionados a la cultura pop como videojuegos, comics, animé, series y películas.",https://www.instagram.com/natu_crafts/,5.jpg
Libreria Alemania ,Librería ,https://librerialemania.cl/,6.jpg
Selvagrafia,"Hace 3 años realizo diseños originales de la fauna Valdiviana y también las imprimo con el método de serigrafia en poleras y polerones, logrando tener un producto único y de calidad",https://www.instagram.com/selvagrafia/,7.jpg
COMIXSTORE.NET,"Librería especializada, cómic, manga y novela gráfica.",https://instagram.com/comixstore_net,8.jpg
Marlyn Becerra Berdugo,"Escritora de cuentos infantiles Ilustrados por diferentes dibujantes y artistas de todo Chile, exposición de ilustraciones, venta de cuentos, magnéticos, stikers, marcapáginas y lapicitos para niños. Incentivamos la lectura y el dibujo infantil. Realizamos talleres infantiles de dibujo y escritura para niños entre y 12 años de edad.   ",https://www.facebook.com/Marlynbec/?ref=pages_you_manage,9.jpg
Colectivo Cuchuflí,Colectivo de cómics interesado en el desarrollo de historietas para un público infantil,https://www.instagram.com/colectivocuchufli,10.jpg
Macarena Gallardo,Macarena Gallardo - Ilustradora ,https://www.instagram.com/macarenagallardo_ilustradora/,11.jpg
Editorial Nootrac,"Edición y venta de libros, cómics, fanzines",https://www.instagram.com/carlosballodibujante/,12.jpg
Green swordsman 3d,"Soy un joven estudiante valdiviano que realiza hace más de un año distintos tipos de impresiones en 3d, las cuales conllevan un trabajo de carácter artesanal es su postprocesado y bastante trabajo y cuidado en su realización, me gustaría participar del evento para poder vender distintos suvenires relacionados con comic, todo parte de este trabajo que realizo. ",https://www.instagram.com/gs_3dvaldivia/,13.jpg
Marina Opazo,"Ilustraciones de Flora, fauna y funga de Chile  aplicada en diferentes soportes como papelería, afiches informativos, estuches, tazones, etc.
",https://www.instagram.com/marinaopazo/,14.jpg
Ariete Producciones,"En abril de 2016 nació Ariete Producciones , una iniciativa productora de narrativa gráfica liderada por German Valenzuela Aravena,  Actualmente tienen mas de 20 obras publicadas y su meta para este 2021/2022 es ampliar el apartado de sci/fi e infantil. Entre su contenido podemos encontrar “Fuego y Acero”, “Phoibos”, “Breve Historia de la Historieta en Chile”, “Fracasado”, entre otros. ",https://www.arietepro.cl/,15.jpg
Brotherhood Comics,Artista,https://www.facebook.com/BrotherHoodComic,16.jpg
Comiquería Nacional,"Nos dedicamos a la venta on line de historietas editadas en Chile, con énfasis en los años 70s, 80s y 90s. Recopilamos material visual, como registro de la influencia en nuestra historia del cómics chileno. Como material adicional vendemos originales y productos asociados a las publicaciones antes mencionadas. 
Nuestra idea es poder compartir y registrar parte de la actividad de nuestro noveno arte.",https://www.instagram.com/comiqueria_nacional/,17.jpg
Colectivo Mala Hierba,"Somos un Colectivo de Ilustrador@s Valdivianos. Nos dedicamos al arte gráfico en Fanzines, Prints, historias ilustradas, stickers, marca páginas de libros, libretas, croqueras y textil. Este grupo lo conformamos 3 artistas: Jugo de Jirafa, Tavo Extracto y Placeba Ilustra. ",https://www.instagram.com/colectivomalahierba,18.jpg
Desastre Natural Ediciones ,"Desastre Natural Ediciones se gesta con la finalidad de dar vida a proyectos, principalmente gráficos, que aborden las complejas relaciones que existen entre los seres humanos.",https://www.desastrenaturalediciones.cl/,19.jpg
The Fool / Hola Myle,Comics y productos hechos con ilustraciones originales,instagram.com/felipethefool  / instagram.com/holamyle,20.jpg
